scraped_page,title,detail_url,price(USD),building_area(m²),land_area(m²),bedrooms,bathrooms,location,image_count,image_filenames,price_per_sqm,property_type
25,Harare North Stand with Title Deed,https://www.property.co.zw/for-sale/residential-land-stands-rrt228261,320000.0,600.0,4000.0,3.0,2.0,Harare,1,db1c63f71f_0.webp,,land
25,Prime Investment Opportunity in Helensvale,https://www.property.co.zw/for-sale/houses-gat224992,1400000.0,2000.0,12000.0,6.0,3.0,Harare,1,d4f8107a5d_0.webp,100.0,house
25,Upmarket 3 Bed Townhouse For Sale In Greendale,https://www.property.co.zw/for-sale/townhouses-prl213041,320000.0,500.0,32500.0,3.0,2.0,Greendale,1,6e52333ba1_0.webp,9.696969696969695,house
25,Westgate house for sale,https://www.property.co.zw/for-sale/houses-thre225460,165000.0,550.0,4047.0,5.0,3.0,Harare,1,bc0a201fde_0.webp,35.892973678485966,house
25,Cluster House for Sale in Greendale,https://www.property.co.zw/for-sale/townhouses-rws225148,300000.0,200.0,400.0,4.0,2.0,Greendale,1,34e187162e_0.webp,500.0,house
26,A spacious 4bedroomed family home for sale in Greendale,https://www.property.co.zw/for-sale/houses-prv227311,350000.0,120.0,4300.0,5.0,2.0,Greendale,1,bb64058f36_0.webp,79.18552036199095,house
26,Crowhill Views near Dam,https://www.property.co.zw/for-sale/residential-land-stands-mrbe225177,20000.0,600.0,1000.0,3.0,2.0,Harare,1,cb6f518d6f_0.webp,,land
26,Famona House for sale,https://www.property.co.zw/for-sale/houses-pgp225777,125000.0,1821.0,1821.0,3.0,2.0,Bulawayo,1,7faa737a33_0.webp,34.321801208127404,house
26,"Prime 1070 m² Land for Sale in Nyeredzi Ridge, Harare North",https://www.property.co.zw/for-sale/land-gat220318,110000.0,600.0,1070.0,3.0,2.0,Harare,1,ffced4676d_0.webp,,land
26,Beautiful Oasis In Eastlea,https://www.property.co.zw/for-sale/houses-plzp228438,350000.0,400.0,1555.0,5.0,3.0,Eastlea,1,f9de4d863d_0.webp,179.02813299232736,house
27,New Hogerty Hill Property,https://www.property.co.zw/for-sale/residential-land-stands-chre228426,80000.0,350.0,2000.0,3.0,2.0,Harare,1,c1dac3ddf5_0.webp,34.04255319148936,land
27,"Elegant 6-Bedroom Home for Sale in Philadelphia, Borrowdale",https://www.property.co.zw/for-sale/houses-leg224713,410000.0,300.0,3000.0,6.0,3.0,Harare,1,af87012961_0.webp,124.24242424242424,house
27,Ironstone Industrial Park,https://www.property.co.zw/for-sale/commercial-land-ccp168031,190000.0,600.0,2500.0,3.0,2.0,Harare,1,28b053bcb8_0.webp,,land
27,Residential house for sale,https://www.property.co.zw/for-sale/houses-smy220443,70000.0,150.0,240.0,4.0,2.0,Harare,1,8b02ec6b88_0.webp,179.48717948717947,house
27,Beatrice Commercial Property,https://www.property.co.zw/for-sale/lodges-hotels-rws215018,375000.0,2000.0,28900.0,3.0,2.0,Harare,1,a4491a305d_0.webp,12.135922330097088,commercial
27,Double Storey Executive Home,https://www.property.co.zw/for-sale/houses-pgp225033,420000.0,600.0,6311.0,6.0,3.0,Unknown,1,7dbcaa8046_0.webp,60.77268123281725,house
